         Course             Faculty           Room       Day      Slot          Batch         Branch
          IT112                  MK            210         1         1    BTech Sem-1        CS, EVD
          IT112                  MK            212         2         3    BTech Sem-1        CS, EVD
          IT112                  MK          LT-02         3         3    BTech Sem-1        CS, EVD
          IT112                  MK            209         4         2    BTech Sem-1        CS, EVD
          IT112                  MK          LT-03         5         3    BTech Sem-1        CS, EVD
          ED111                 PK2            209         1         2    BTech Sem-1            EVD
          ED112                  AG            202         1         4    BTech Sem-1            EVD
          ED111                 PK2            212         2         2    BTech Sem-1            EVD
          ED112                  AG            105         2         4    BTech Sem-1            EVD
          ED111                 PK2            102         3         2    BTech Sem-1            EVD
          ED112                  AG            209         3         4    BTech Sem-1            EVD
          ED111                 PK2            109         4         3    BTech Sem-1            EVD
          ED112                  AG            104         4         4    BTech Sem-1            EVD
          ED111                 PK2            211         5         1    BTech Sem-1            EVD
          ED112                  AG            209         5         2    BTech Sem-1            EVD
          SC107                 MKG            207         1         1    BTech Sem-1            ICT
          PC110                  AM            203         1         2    BTech Sem-1            ICT
          PC110                  AM            103         2         2    BTech Sem-1            ICT
          SC107                 MKG            003         2         3    BTech Sem-1            ICT
          IT112                  BG            203         2         4    BTech Sem-1            ICT
          PC110                  AM            203         3         2    BTech Sem-1            ICT
          SC107                 MKG            108         3         3    BTech Sem-1            ICT
          PC110                  AM            206         4         2    BTech Sem-1            ICT
          SC107                 MKG            110         4         4    BTech Sem-1            ICT
          SC107                 MKG          LT-02         5         2    BTech Sem-1            ICT
          PC110                  AM          LT-01         5         3    BTech Sem-1            ICT
          IC101                 AKR            104         1         4    BTech Sem-1        ICT, CS
          IT113         PhD student            212         1         3    BTech Sem-1   ICT, CS, EVD
          IT113         PhD student          LT-03         2         1    BTech Sem-1   ICT, CS, EVD
          IT113         PhD student            107         3         1    BTech Sem-1   ICT, CS, EVD
          IT113         PhD student            212         4         1    BTech Sem-1   ICT, CS, EVD
          IT113         PhD student            105         5         4    BTech Sem-1   ICT, CS, EVD
          CT204                  PK            110         1         1    BTech Sem-3             CS
          IT227                  SB            212         1         2    BTech Sem-3             CS
          SC223                  AT            108         1         3    BTech Sem-3             CS
          SC223                  AT            207         2         1    BTech Sem-3             CS
          IT227                  SB            003         2         2    BTech Sem-3             CS
          CT204                  PK            105         2         3    BTech Sem-3             CS
          CT204                  PK            106         3         2    BTech Sem-3             CS
          IT227                  SB            210         3         3    BTech Sem-3             CS
          SC223                  AT            202         3         4    BTech Sem-3             CS
          CT204                  PK            107         4         1    BTech Sem-3             CS
          SC223                  AT            211         4         2    BTech Sem-3             CS
          IT227                  SB            003         4         3    BTech Sem-3             CS
          SC223                  AT            207         5         1    BTech Sem-3             CS
          IT227                  SB            209         5         3    BTech Sem-3             CS
          CT204                  PK            207         5         4    BTech Sem-3             CS
          CT204                  HP            102         1         4    BTech Sem-3            ICT
          CT204                  HP            212         2         1    BTech Sem-3            ICT
          SC223                  RM            104         3         1    BTech Sem-3            ICT
          CT204                  HP          LT-01         3         4    BTech Sem-3            ICT
          SC223                  RM            209         4         1    BTech Sem-3            ICT
          CT204                  HP            206         4         3    BTech Sem-3            ICT
          CT204                  HP            107         5         1    BTech Sem-3            ICT
          HM216                  SJ            205         2         4    BTech Sem-3   ICT, CS, MnC
          HM216                  SJ            212         4         4    BTech Sem-3   ICT, CS, MnC
          HM216                  SJ            003         5         2    BTech Sem-3   ICT, CS, MnC
          MC213                 AT2            103         1         3    BTech Sem-3            MnC
          MC213                 AT2            207         2         3    BTech Sem-3            MnC
          MC213                 AT2          LT-02         3         2    BTech Sem-3            MnC
          MC213                 AT2            210         4         1    BTech Sem-3            MnC
          MC213                 AT2            102         5         3    BTech Sem-3            MnC
          CT303                 DKG            203         1         4    BTech Sem-5             CS
          CT303                 DKG            209         2         4    BTech Sem-5             CS
          CT303                 DKG            102         3         1    BTech Sem-5             CS
          CT303                 DKG            210         4         4    BTech Sem-5             CS
          CT303                 DKG            211         5         2    BTech Sem-5             CS
          CT303                  AJ            105         1         3    BTech Sem-5            ICT
          CT303                  AJ            003         5         4    BTech Sem-5            ICT
          IT304                 PKS            103         1         1    BTech Sem-5        ICT, CS
          IE411                  SS            102         1         2    BTech Sem-5        ICT, CS
          IE411                  SS            204         2         1    BTech Sem-5        ICT, CS
          IT314                  ST            210         2         2    BTech Sem-5        ICT, CS
          IT304                 PKS            206         2         3    BTech Sem-5        ICT, CS
          IT304                 PKS            212         3         2    BTech Sem-5        ICT, CS
          IE411                  SS            106         3         3    BTech Sem-5        ICT, CS
          IT314                  ST            205         3         4    BTech Sem-5        ICT, CS
          IT304                 PKS            211         4         1    BTech Sem-5        ICT, CS
          IE411                  SS            109         4         2    BTech Sem-5        ICT, CS
          IT314                  ST            104         4         3    BTech Sem-5        ICT, CS
          IT304                 PKS            210         5         1    BTech Sem-5        ICT, CS
          IE411                  SS          LT-02         5         3    BTech Sem-5        ICT, CS
          MC312                  MT            105         1         1    BTech Sem-5            MnC
          MC313                 PK3            207         1         2    BTech Sem-5            MnC
          MC314                  GS            210         1         4    BTech Sem-5            MnC
          MC312                  MT            206         2         1    BTech Sem-5            MnC
          MC314                  GS            102         2         2    BTech Sem-5            MnC
          MC313                 PK3            212         2         4    BTech Sem-5            MnC
          MC314                  GS            105         3         1    BTech Sem-5            MnC
          MC313                 PK3          LT-03         3         3    BTech Sem-5            MnC
          MC312                  MT            207         3         4    BTech Sem-5            MnC
          MC313                 PK3            212         4         2    BTech Sem-5            MnC
          MC312                  MT            210         4         3    BTech Sem-5            MnC
          MC314                  GS            109         4         4    BTech Sem-5            MnC
          MC313                 PK3            102         5         1    BTech Sem-5            MnC
          MC312                  MT            105         5         2    BTech Sem-5            MnC
          MC314                  GS            104         5         4    BTech Sem-5            MnC
