         Course             Faculty           Room       Day      Slot          Batch         Branch
          EL111                 RLD          LT-01         1         3    BTech Sem-1             CS
          SC107                 SB2            106         1         5    BTech Sem-1             CS
          EL111                 RLD            106         2         5    BTech Sem-1             CS
          EL111                 RLD            205         3         4    BTech Sem-1             CS
          SC107                 SB2            102         3         5    BTech Sem-1             CS
          SC107                 SB2          LT-01         4         4    BTech Sem-1             CS
          EL111                 RLD            203         4         5    BTech Sem-1             CS
          SC107                 SB2            206         5         4    BTech Sem-1             CS
          EL111                 RLD            204         5         5    BTech Sem-1             CS
          IT112                  MK            211         1         1    BTech Sem-1        CS, EVD
          IT112                  MK            110         2         4    BTech Sem-1        CS, EVD
          IT112                  MK            108         3         3    BTech Sem-1        CS, EVD
          IT112                  MK            108         4         1    BTech Sem-1        CS, EVD
          IT112                  MK            211         5         3    BTech Sem-1        CS, EVD
          PC110                  AM          LT-01         5         2    BTech Sem-1   CS, MnC, EVD
          ED112                  AG            206         1         2    BTech Sem-1            EVD
          ED111                 PK2            202         1         3    BTech Sem-1            EVD
          EL111                  BM            108         1         4    BTech Sem-1            EVD
          EL111                  BM            204         2         1    BTech Sem-1            EVD
          ED112                  AG            206         2         3    BTech Sem-1            EVD
          ED111                 PK2          LT-01         2         5    BTech Sem-1            EVD
          ED112                  AG          LT-01         3         1    BTech Sem-1            EVD
          EL111                  BM          LT-02         3         2    BTech Sem-1            EVD
          ED111                 PK2            211         3         4    BTech Sem-1            EVD
          ED112                  AG            106         4         2    BTech Sem-1            EVD
          EL111                  BM            209         4         3    BTech Sem-1            EVD
          ED111                 PK2            104         4         5    BTech Sem-1            EVD
          EL111                  BM            104         5         1    BTech Sem-1            EVD
          ED112                  AG          LT-02         5         4    BTech Sem-1            EVD
          ED111                 PK2            211         5         5    BTech Sem-1            EVD
          SC107                 MKG            109         1         3    BTech Sem-1            ICT
          PC110                  AM            203         1         4    BTech Sem-1            ICT
          SC107                 MKG            109         2         1    BTech Sem-1            ICT
          PC110                  AM            106         2         3    BTech Sem-1            ICT
          PC110                  AM            103         3         3    BTech Sem-1            ICT
          SC107                 MKG            212         3         4    BTech Sem-1            ICT
          SC107                 MKG            104         4         2    BTech Sem-1            ICT
          PC110                  AM          LT-03         4         3    BTech Sem-1            ICT
          PC110                  AM            103         5         1    BTech Sem-1            ICT
          SC107                 MKG          LT-02         5         2    BTech Sem-1            ICT
          IC101                 AKR            211         1         2    BTech Sem-1        ICT, CS
          IC101                 AKR          LT-01         2         2    BTech Sem-1        ICT, CS
          MC123                  SP            209         1         1    BTech Sem-1            MnC
          MC113         PhD student            211         1         3    BTech Sem-1            MnC
          MC113         PhD student            202         2         1    BTech Sem-1            MnC
          MC123                  SP            107         2         4    BTech Sem-1            MnC
          MC113         PhD student            104         3         2    BTech Sem-1            MnC
          MC123                  SP            204         3         4    BTech Sem-1            MnC
