         Course             Faculty           Room       Day      Slot          Batch         Branch
          EL111                 RLD            106         1         5    BTech Sem-1             CS
          EL111                 RLD          LT-01         2         2    BTech Sem-1             CS
          EL111                 RLD            205         3         3    BTech Sem-1             CS
          EL111                 RLD            106         4         1    BTech Sem-1             CS
          EL111                 RLD          LT-02         5         4    BTech Sem-1             CS
          IT112                  MK            205         3         1    BTech Sem-1        CS, EVD
          IT112                  MK            205         4         4    BTech Sem-1        CS, EVD
          PC110                  AM            108         1         2    BTech Sem-1   CS, MnC, EVD
          PC110                  AM            206         3         5    BTech Sem-1   CS, MnC, EVD
          PC110                  AM            104         4         2    BTech Sem-1   CS, MnC, EVD
          EL111                  BM            103         1         3    BTech Sem-1            EVD
          ED111                 PK2            107         1         4    BTech Sem-1            EVD
          ED112                  AG          LT-02         1         5    BTech Sem-1            EVD
          ED111                 PK2            205         2         3    BTech Sem-1            EVD
          EL111                  BM            204         2         4    BTech Sem-1            EVD
          ED112                  AG            206         2         5    BTech Sem-1            EVD
          EL111                  BM            106         3         2    BTech Sem-1            EVD
          ED111                 PK2            109         3         3    BTech Sem-1            EVD
          ED112                  AG            204         3         4    BTech Sem-1            EVD
          ED112                  AG            104         4         1    BTech Sem-1            EVD
          EL111                  BM            106         4         3    BTech Sem-1            EVD
          ED111                 PK2            104         4         5    BTech Sem-1            EVD
          ED111                 PK2            206         5         2    BTech Sem-1            EVD
          ED112                  AG          LT-01         5         4    BTech Sem-1            EVD
          EL111                  BM          LT-01         5         5    BTech Sem-1            EVD
          EL111                  SM            105         1         2    BTech Sem-1            ICT
          PC110                  AM            104         1         4    BTech Sem-1            ICT
          SC107                 MKG            107         2         2    BTech Sem-1            ICT
          PC110                  AM          LT-02         2         3    BTech Sem-1            ICT
          PC110                  AM            204         3         2    BTech Sem-1            ICT
          EL111                  SM            103         3         5    BTech Sem-1            ICT
          PC110                  AM            107         4         1    BTech Sem-1            ICT
          EL111                  SM            210         4         2    BTech Sem-1            ICT
          PC110                  AM            207         5         4    BTech Sem-1            ICT
          IC101                 AKR            202         1         3    BTech Sem-1        ICT, CS
          IC101                 AKR          LT-02         2         5    BTech Sem-1        ICT, CS
          IC101                 AKR            202         3         4    BTech Sem-1        ICT, CS
          IC101                 AKR            212         4         3    BTech Sem-1        ICT, CS
          IC101                 AKR            108         5         1    BTech Sem-1        ICT, CS
          IT113         PhD student            102         1         1    BTech Sem-1   ICT, CS, EVD
          IT113         PhD student            104         2         1    BTech Sem-1   ICT, CS, EVD
          IT113         PhD student            106         5         3    BTech Sem-1   ICT, CS, EVD
          MC123                  SP            109         1         1    BTech Sem-1            MnC
